AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],AD_Table_ID[Name],AD_Reference_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name]
AMERPSOFT Personnel Payroll T2,3410,REF,,,,AMN_Contract_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3420,REF,,,,AMN_Department_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3440,REF,,,,AMN_Location_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3450,REF,,,,AMN_Position_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3470,REF,,,,AMN_Shift_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3480,REF,,,,AMN_Jobstation_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3490,REF,,,,AMN_Jobtitle_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3600,SQL,,,,,,,,,,ALL,"UPDATE AD_Element  
SET columnname='Salary', name='Salary', printname='Salary',  entitytype = 'AMERP', ad_element_uu='525897ba-3ecd-4473-9c76-53ae5f9ee5f6'
WHERE  lower(columnname) ='salary'",,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3610,SQL,,,,,,,,,,ALL,"UPDATE AD_Element  
SET columnname='civilstatus', name='Civil Status', printname='Civil Status', entitytype = 'AMERP', ad_element_uu='9f9291c5-1194-4308-9da8-b90fb39d5012'
WHERE  lower(columnname) ='civilstatus'",,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3620,SQL,,,,,,,,,,ALL,"UPDATE AD_Element  
SET columnname='civilstatus', name='Civil Status', printname='Civil Status', entitytype = 'AMERP', ad_element_uu='9f9291c5-1194-4308-9da8-b90fb39d5012'
WHERE  lower(columnname) ='civilstatus'",,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3630,SQL,,,,,,,,,,ALL,"UPDATE AD_Element  
SET columnname='bloodtype', name='Blood Type', printname='Blood Type', entitytype = 'AMERP', ad_element_uu='ab6a36ee-4bf5-4d82-b334-bd3d1bb88cde'
WHERE  lower(columnname) ='bloodtype'",,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3750,T,,,Payroll employee,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3760,T,,,Employee Salary,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3770,T,,,Employee Tax Definition,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3780,T,,,AMN_Employee_Salary_Hist_V,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3790,T,,,Employee Dependent Type,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3800,T,,,Employee Dependent,,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T2,3810,REF,,,,AMN_Employee_ID,,,,,,ALL,,,,,,,,,System Administrator,,,,,,,,,Product Info
